api10,direction,wellname,welltype,operator,basin,subbasin,state,county,spuddate,cum12moil,cum12mgas,cum12mwater
4239133300,Vertical,"OCONNOR, DENNIS, ETAL -L- L 98",Oil,TC Oil,Other,Other,Texas,Refugio,2023-04-03,766,60,10233
4239133302,Vertical,T-C OIL CO.-OCONNOR 117,Oil,TC Oil,Other,Other,Texas,Refugio,2023-04-28,1206,1350,26975
4239133303,Vertical,T-C OIL CO.-OCONNOR 118,Oil,TC Oil,Other,Other,Texas,Refugio,2023-04-18,24255,2630,3384
,Vertical,T-C OIL CO.-OCONNOR 120,Oil,TC Oil,Other,Other,Texas,Refugio,2023-06-11,13961,1563,12322
4239133308,Vertical,T-C OIL CO.-OCONNOR 122,Oil,TC Oil,Other,Other,Texas,Refugio,2023-07-10,14175,1876,11513
4239133315,Vertical,T-C OIL CO.-OCONNOR 123,Oil,TC Oil,Other,Other,Texas,Refugio,2023-07-19,882,113,30153
4209734799,Vertical,COOKE 24,Oil,Wfw Production,Anadarko,SCOOP,Texas,Cooke,2023-05-22,3962,0,8427
4209734801,Vertical,THS UNIT 7,Oil,"Miller, Glenn J.",Barnett,Barnett,Texas,Cooke,2023-05-20,1090,0,3815
4209734802,Vertical,"TRUBENBACH, J. F. -A- 30",Oil,Wfw Production,Barnett,Barnett,Texas,Cooke,2023-05-31,2158,0,0
4209734803,Vertical,BELL 15,Oil,Reed Production,Barnett,Barnett,Texas,Cooke,2023-06-27,11607,0,6276
4209734806,Vertical,"TRUBENBACH, J. F. -A- 32",Oil,Wfw Production,Barnett,Barnett,Texas,Cooke,2023-09-05,1662,0,0
4212335200,Horizontal,ADAMS UNIT A 5,Oil,ConocoPhillips,Eagle Ford,Central Eagle Ford,Texas,DeWitt,2023-01-26,230263,665269,113787
4212335252,Vertical,R4 PARTNERS 1,Gas,Kaler Energy,Eagle Ford,Central Eagle Ford,Texas,DeWitt,2023-03-04,45927,437322,118949
